iter	RMSE
0	11.71025716
1	11.39408401
2	11.06587242
3	10.78122272
4	10.50359966
5	10.24143435
6	9.993529519
7	9.770999142
8	9.546288889
9	9.342950416
10	9.180326338
11	8.992126249
12	8.822118657
13	8.655035853
14	8.502406071
15	8.350613058
16	8.228063884
17	8.118828888
18	8.004824801
19	7.893527916
20	7.769107754
21	7.664308244
22	7.569411703
23	7.481243333
24	7.402069587
25	7.324434575
26	7.250488312
27	7.187828105
28	7.12102324
29	7.059292519
30	7.013531977
31	6.957738832
32	6.899234462
33	6.843829789
34	6.800363308
35	6.74860061
36	6.701314271
37	6.663185695
38	6.615166494
39	6.572674834
40	6.539230221
41	6.503460901
42	6.470147649
43	6.435800675
44	6.403800098
45	6.382320908
46	6.350536958
47	6.329039935
48	6.292797484
49	6.2571794
50	6.221732039
51	6.192791092
52	6.165003788
53	6.138442087
54	6.088155992
55	6.058046578
56	6.036610136
57	6.006123865
58	5.987339568
59	5.955145199
60	5.935964815
61	5.909006823
62	5.886406391
63	5.87406483
64	5.864267964
65	5.842506056
66	5.83085698
67	5.806750741
68	5.793972345
69	5.7779646
70	5.750398957
71	5.736508249
72	5.723148133
73	5.70323013
74	5.681711736
75	5.671816258
76	5.663140138
77	5.652648886
78	5.627879481
79	5.608982784
80	5.595416777
81	5.587882049
82	5.582268468
83	5.576382967
84	5.566078127
85	5.553945442
86	5.546857344
87	5.531814623
88	5.507558083
89	5.493015785
90	5.472268152
91	5.464714281
92	5.460533887
93	5.454910572
94	5.438462406
95	5.427442759
96	5.422842091
97	5.42170111
98	5.403439075
99	5.39858129
100	5.368475723
101	5.352749768
102	5.348842086
103	5.340307478
104	5.330672613
105	5.323295467
106	5.30544432
107	5.289916365
108	5.287170295
109	5.282373386
110	5.27924496
111	5.266302116
112	5.252186713
113	5.235840459
114	5.235112894
115	5.215045774
116	5.208232413
117	5.201280078
118	5.188179768
119	5.159759462
120	5.155196277
121	5.152208127
122	5.126068491
123	5.103300701
124	5.096293605
125	5.087139021
126	5.08414161
127	5.081875423
128	5.076267267
129	5.055099064
130	5.052489619
131	5.02719852
132	5.021970211
133	5.016410136
134	5.006853556
135	5.005543985
136	4.987841469
137	4.979254019
138	4.973373523
139	4.965616316
140	4.963998705
141	4.950690656
142	4.944365485
143	4.925390035
144	4.907678913
145	4.898929001
146	4.895875727
147	4.892145021
148	4.887041267
149	4.875701694
150	4.875080121
151	4.870760503
152	4.863828493
153	4.863312362
154	4.856184398
155	4.847245971
156	4.845699765
157	4.833203046
158	4.82014347
159	4.819592252
160	4.812716192
161	4.805072655
162	4.80431756
163	4.797876107
164	4.796410702
165	4.791911688
166	4.790168494
167	4.768144696
168	4.767309411
169	4.766756769
170	4.762604493
171	4.744121547
172	4.742476002
173	4.741698644
174	4.740896483
175	4.740426212
176	4.723687654
177	4.717901075
178	4.704935575
179	4.703041738
180	4.702480961
181	4.700877453
182	4.691160636
183	4.69052171
184	4.690236214
185	4.689884501
186	4.666637352
187	4.666416352
188	4.665038768
189	4.647753056
190	4.647336198
191	4.646721752
192	4.62464356
193	4.623461642
194	4.622623128
195	4.61256783
196	4.606059607
197	4.60551677
198	4.604891127
199	4.591429868
200	4.591159302
201	4.589702745
202	4.589172149
203	4.578958494
204	4.576684399
205	4.574104646
206	4.572634595
207	4.572205258
208	4.571964284
209	4.571598508
210	4.571450659
211	4.559789577
212	4.554339122
213	4.553335475
214	4.541990505
215	4.54157814
216	4.541288468
