iter	Passed	Remaining
0	1	1989
1	3	1935
2	5	1891
3	7	1895
4	9	1875
5	10	1753
6	12	1753
7	13	1719
8	15	1725
9	17	1735
10	19	1745
11	21	1749
12	23	1748
13	24	1741
14	26	1738
15	28	1761
16	30	1765
17	32	1769
18	34	1768
19	36	1778
20	38	1779
21	40	1782
22	41	1780
23	44	1790
24	45	1790
25	47	1786
26	49	1767
27	50	1761
28	52	1755
29	54	1753
30	55	1725
31	56	1720
32	58	1722
33	60	1719
34	62	1713
35	63	1711
36	65	1708
37	67	1704
38	69	1704
39	70	1701
40	72	1699
41	74	1699
42	76	1698
43	77	1694
44	79	1689
45	81	1685
46	82	1682
47	84	1680
48	86	1678
49	88	1676
50	89	1674
51	91	1672
52	93	1669
53	95	1665
54	96	1662
55	98	1658
56	100	1655
57	101	1655
58	103	1653
59	105	1653
60	107	1651
61	108	1648
62	110	1646
63	112	1643
64	113	1635
65	115	1632
66	117	1633
67	119	1633
68	121	1632
69	122	1631
70	124	1628
71	126	1626
72	127	1623
73	129	1620
74	131	1617
75	133	1619
76	134	1617
77	136	1614
78	138	1612
79	139	1609
80	141	1607
81	143	1604
82	144	1598
83	146	1596
84	148	1596
85	150	1594
86	151	1592
87	153	1590
88	155	1587
89	156	1585
90	158	1583
91	160	1580
92	161	1578
93	163	1576
94	165	1575
95	167	1572
96	168	1570
97	170	1567
98	171	1565
99	173	1562
100	175	1561
101	177	1560
102	178	1557
103	180	1556
104	182	1553
105	184	1552
106	185	1549
107	187	1547
108	188	1540
109	190	1537
110	191	1536
111	193	1534
112	195	1533
113	197	1532
114	198	1525
115	200	1524
116	201	1523
117	203	1521
118	205	1520
119	207	1519
120	209	1518
121	210	1516
122	212	1515
123	214	1514
124	216	1513
125	217	1511
126	219	1510
127	221	1509
128	223	1507
129	225	1506
130	226	1505
131	228	1503
132	230	1501
133	232	1500
134	233	1498
135	235	1497
136	237	1495
137	239	1494
138	241	1493
139	242	1492
140	244	1490
141	246	1488
142	248	1487
143	250	1486
144	252	1486
145	254	1487
146	256	1486
147	258	1486
148	260	1486
149	262	1484
150	263	1483
151	265	1481
152	267	1480
153	269	1478
154	270	1476
155	272	1474
156	274	1473
157	276	1472
158	277	1470
159	279	1468
160	281	1467
161	283	1466
162	285	1464
163	286	1461
164	288	1459
165	290	1458
166	291	1456
167	293	1454
168	295	1452
169	297	1451
170	299	1449
171	300	1448
172	302	1446
173	304	1444
174	306	1442
175	307	1440
176	309	1439
177	311	1437
178	313	1436
179	314	1434
180	316	1432
181	318	1430
182	320	1429
183	321	1427
184	323	1423
185	324	1421
186	326	1420
187	327	1415
188	329	1414
189	331	1412
190	332	1409
191	334	1407
192	336	1405
193	337	1403
194	339	1401
195	341	1400
196	343	1398
197	344	1397
198	346	1395
199	348	1393
200	350	1391
201	351	1389
202	353	1388
203	355	1386
204	357	1384
205	358	1381
206	360	1379
207	361	1377
208	362	1373
209	364	1371
210	365	1367
211	367	1365
212	369	1364
213	371	1363
214	372	1361
215	374	1359
216	376	1357
217	377	1355
218	379	1353
219	381	1351
220	382	1349
221	384	1348
222	386	1346
223	388	1345
224	390	1343
225	391	1341
226	393	1340
227	395	1338
228	396	1336
229	398	1334
230	400	1333
231	402	1331
232	403	1329
233	405	1328
234	407	1326
235	409	1324
236	410	1322
237	412	1320
238	414	1318
239	415	1317
240	417	1315
241	419	1313
242	421	1312
243	422	1309
244	424	1308
245	426	1306
246	427	1304
247	429	1302
248	431	1301
249	433	1299
250	434	1297
251	436	1295
252	438	1293
253	439	1291
254	441	1289
255	443	1288
256	445	1286
257	446	1285
258	448	1283
259	450	1281
260	452	1280
261	453	1278
262	455	1277
263	457	1275
264	459	1273
265	461	1272
266	463	1271
267	464	1269
268	466	1268
269	468	1266
270	470	1264
271	471	1262
272	473	1261
273	475	1259
274	477	1258
275	479	1256
276	480	1254
277	482	1253
278	484	1251
279	485	1249
280	487	1247
281	489	1246
282	491	1245
283	493	1243
284	494	1241
285	496	1239
286	498	1238
287	500	1236
288	501	1234
289	503	1233
290	505	1231
291	507	1230
292	509	1228
293	510	1226
294	512	1225
295	514	1223
296	516	1221
297	517	1220
298	519	1218
299	521	1216
300	523	1214
301	524	1212
302	526	1211
303	528	1209
304	529	1207
305	531	1205
306	533	1203
307	535	1202
308	536	1200
309	538	1198
310	540	1196
311	542	1195
312	543	1193
313	545	1191
314	547	1190
315	549	1188
316	551	1187
317	552	1185
318	554	1183
319	556	1182
320	558	1180
321	559	1178
322	561	1177
323	563	1175
324	565	1173
325	566	1172
326	568	1170
327	570	1168
328	572	1167
329	573	1165
330	575	1163
331	577	1162
332	579	1160
333	581	1159
334	582	1157
335	584	1155
336	586	1153
337	588	1152
338	590	1150
339	591	1148
340	593	1147
341	595	1145
342	596	1143
343	598	1141
344	600	1139
345	601	1137
346	603	1135
347	605	1134
348	607	1132
349	609	1131
350	610	1129
351	612	1127
352	614	1126
353	616	1124
354	618	1123
355	619	1121
356	621	1119
357	623	1118
358	625	1116
359	627	1115
